Gene name	Chromosome/scaffold name	Karyotype band	Gene start (bp)	Gene end (bp)
RNU7-50P	11	p15.4	3781395	3781456
RNU6-1207P	10	q11.21	45188790	45188896
MIR516B1	19	q13.42	53736845	53736934
RNU4-48P	2	q14.3	127472234	127472415
RNU7-49P	11	p15.2	14478892	14478953
MIR519B	19	q13.42	53695213	53695293
MIR6744	11	p15.5	1256605	1256670
RNU6-1248P	1	q41	223690051	223690114
AC007908.1	KI270728.1		1109945	1110235
MIR520E	19	q13.42	53675711	53675797
RF01299	10	q21.1	56595963	56596031
RF00004	GL000216.2		93197	93309
RN7SL20P	22	q12.2	31757202	31757498
RNU6-768P	12	q23.1	101199271	101199377
AP001052.1	21	q22.3	43748365	43748468
RF02158	1	p36.22	11847442	11847549
MIR5582	11	p11.2	46753125	46753192
RNU6-258P	17	p11.2	20126388	20126488
MIR3180-1	16	p13.11	14911220	14911313
RF00026	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1		54882533	54882639
MIR6766	15	q26.1	89326739	89326810
RF00432	1	p22.1	92846059	92846182
MIR6881	15	q24.1	74411357	74411432
RN7SL597P	13	q14.11	41121876	41122171
RNU6-1083P	12	q14.1	57806154	57806260
RNA5SP395	15	q21.2	50463381	50463498
MIR4539	14	q32.33	105857513	105857572
RF00019	12	p11.21	31506303	31506404
MIR3622A	8	p21.1	27701677	27701759
RF00156	21	q22.11	32841861	32841995
RNU6-605P	1	p34.3	38926870	38926977
RNU6-540P	5	q12.3	65604661	65604761
MIR4506	14	q32.12	93948226	93948302
CNOT3	CHR_HSCHR19LRC_LRC_J_CTG3_1		54138182	54156191
MIR206	6	p12.2	52144349	52144434
MIR4481	10	p13	12653138	12653197
RN7SL100P	9	p21.2	26895678	26895970
RF00019	16	p13.11	14915457	14915556
MIR765	1	q23.1	156936131	156936244
AC011476.10	CHR_HSCHR19LRC_LRC_J_CTG3_1		54939296	54946235
MIR3134	3	p25.1	15697298	15697371
MIR4471	8	q22.2	100382763	100382845
RF00096	15	q13.2	30384959	30385091
AC243790.1	CHR_HSCHR15_4_CTG8		30361040	30361438
MIR6857	X	p11.22	53405673	53405765
RF01293	2	p15	63883249	63883391
MIR599	8	q22.2	99536636	99536730
MIR1299	9	p11.2	40929010	40929092
MIR4257	1	q21.2	150551929	150552014
RNU6-538P	9	q21.11	66142221	66142327
VSTM1	CHR_HSCHR19LRC_PGF1_CTG3_1		54040833	54063953
RN7SL465P	6	p21.2	38744086	38744386
MIR1273G	1	p32.3	52940314	52940413
MIR129-1	7	q32.1	128207872	128207943
RNA5SP295	9	q32	112252258	112252378
MIR1271	5	q35.2	176367946	176368031
AL034351.2	CHR_HG1832_PATCH		210462345	210463012
RF00425	CHR_HSCHR15_4_CTG8		32079158	32079289
RN7SL274P	16	p13.12	14601823	14602094
RN7SL233P	18	q11.2	21793883	21794159
RN7SL608P	17	p13.3	2680958	2681236
RNU6-939P	2	p22.2	37331770	37331876
MIR4718	16	p13.12	12720321	12720371
MIR3921	3	q12.1	99964314	99964398
RF00066	12	q24.12	111564821	111564883
RF00019	11	p14.3	24455911	24456010
RNU6-34P	4	q22.3	96152297	96152403
MIR409	14	q32.31	101065300	101065378
MIR5700	12	q22	94561789	94561859
RNU6-316P	18	p11.21	14190700	14190806
RF00017	22	q11.21	21463963	21464279
MIR615	12	q13.13	54033950	54034045
RNU6-893P	11	q23.1	112032499	112032598
RNU6-1183P	12	q23.2	101871742	101871801
RF00004	CHR_HSCHR9_1_CTG3		70194651	70194830
RF00019	CHR_HSCHR6_MHC_QBL_CTG1		30725828	30725938
MIR548Q	10	p13	12725254	12725353
RN7SKP167	10	q26.13	121410916	121411200
MIR6885	19	p13.3	6389638	6389703
RNU6-364P	7	q21.3	96341140	96341246
MIR643	19	q13.41	52281797	52281893
RNU6-910P	3	q29	196341609	196341715
MIR5190	18	p11.21	13459947	13460026
MIR5089	17	q21.32	46973017	46973100
MIR6072	10	p15.3	2076019	2076089
MIR3177	16	p13.3	1734985	1735066
RNU7-11P	4	p14	39621012	39621073
MIR376A2	14	q32.31	101040069	101040148
MIR214	1	q24.3	172138798	172138907
MAFIP	GL000194.1		53594	115055
RF00017	15	q14	37216617	37216898
RNA5SP145	3	q25.1	151188099	151188223
RF00279	X	q21.31	87146733	87146804
MIR3658	1	q24.1	165907921	165907976
RNA5SP275	8	q23.1	107884494	107884611
MIR555	1	q22	155346350	155346445
RF00019	CHR_HSCHR6_MHC_DBB_CTG1		29747847	29747948
CACFD1	CHR_HG2030_PATCH		133460113	133470996
RF02171	22	q12.3	32362972	32363059
MIR8054	11	p14.3	23419105	23419190
RNY1P6	13	q14.3	51586424	51586532
RNU6-696P	21	q22.13	37045530	37045636
MIR3116-2	1	p31.3	62078789	62078856
RF00019	X	q26.3	136816477	136816574
RN7SL215P	3	q29	194145674	194145971
RN7SKP297	11	q13.4	74685224	74685505
RNA5SP419	16	p11.1	35753796	35753930
MIR766	X	q24	119646738	119646848
RF00001	CHR_HSCHR6_MHC_MANN_CTG1		32117921	32118041
RF00019	5	q35.3	179847035	179847130
RNU4-65P	12	q15	70443784	70443923
MIR1587	X	p11.4	39837561	39837613
RF00026	4	p12	48109353	48109410
MIR27B	9	q22.32	95085445	95085541
RNU6-349P	18	p11.31	6454962	6455068
SNORD58B	18	q21.1	49491664	49491729
MIR4470	8	q12.3	61714788	61714859
RNA5SP109	2	q24.2	162496936	162497051
MIR30A	6	q13	71403551	71403621
RF02128	20	q13.32	58842433	58842546
MIR3148	8	p12	29957272	29957348
RF00019	12	q12	44880868	44880969
RNU6-647P	2	p22.3	32214456	32214562
RF00012	1	q41	219962652	219962865
RF00019	17	q23.2	61874084	61874182
MIR1286	22	q11.21	20249134	20249211
SNORD10	17	p13.1	7576811	7576952
RNU6-1082P	9	q33.1	117707996	117708102
MIR941-3	20	q13.33	63919561	63919632
CNOT3	CHR_HSCHR19LRC_LRC_I_CTG3_1		54138182	54156191
RF00019	17	q25.3	81573490	81573602
RF00019	4	p12	48153434	48153535
MIR1-1	20	q13.33	62554306	62554376
MIR6719	19	q13.2	39829716	39829802
RF00019	1	q21.3	153785720	153785821
RN7SKP252	22	q13.33	49738677	49739003
RNA5-8SP6	Y	p11.2	10200155	10200306
SNORA70F	2	q24.3	164687643	164687777
SNORD127	14	q21.2	45110883	45110968
RF00416	3	p26.2	3102913	3103015
MIR8075	13	q34	113262920	113262999
RNA5SP497	22	q12.3	32635102	32635198
MIR1180	17	p11.2	19344506	19344574
SNORD115-29	15	q11.2	25223246	25223327
RNA5SP529	1	q21.1	144265217	144265326
RNU6-575P	7	p14.1	43207762	43207866
AC007325.2	KI270734.1		138082	161852
RN7SL741P	13	q12.13	25944478	25944766
RNU2-63P	2	p11.2	88016354	88016547
MIR379	14	q32.31	101022066	101022132
SNORD7	17	q12	35573657	35573753
RNU6-119P	4	q26	116839279	116839385
RNU6-358P	5	p13.3	31820564	31820638
RF00019	10	q26.13	124814958	124815062
RNU6-1305P	5	p13.2	36155119	36155222
RF00026	CHR_HSCHR19LRC_COX1_CTG3_1		54264323	54264425
RF00012	10	p12.31	19598247	19598463
SNORA20	6	q25.3	159780250	159780381
RF00397	10	p15.1	6017054	6017194
RN7SL854P	1	p31.3	65761058	65761352
RNU6-236P	5	q31.2	139717985	139718090
AL137067.2	9	q22.33	99357827	99357957
SNORD116-13	15	q11.2	25079058	25079149
AC213203.1	KI270713.1		35407	35916
RNU6-283P	6	p21.33	31370134	31370240
RNU6-945P	19	q13.2	40299478	40299584
RNU6-517P	7	q31.31	121194948	121195057
RNA5SP375	12	q24.31	123282916	123283034
RNU1-94P	20	q11.21	31901254	31901426
SNORD74B	21	q21.1	16284696	16284768
RF00416	2	q31.3	179934401	179934538
RF00012	1	q41	218541690	218541899
RNU1-105P	6	p12.3	47823390	47823550
RF00017	1	q25.3	181668749	181669028
RNU6-666P	10	p12.1	27315120	27315226
RNU6-1103P	7	p15.3	24537332	24537438
RF00408	2	q33.2	203052285	203052418
RF00017	X	p11.3	46553522	46553775
RNU6-59P	13	q12.11	21551304	21551410
RNU7-56P	X	p22.2	16767844	16767905
RN7SL720P	9	p22.2	17053901	17054204
RN7SL831P	1	p21.3	96583209	96583527
RNA5SP96	2	p13.3	69181897	69182003
RNU6-46P	11	q13.2	67895631	67895737
SNORD59A	12	q13.3	56645027	56645101
RN7SL381P	16	q24.1	85659378	85659675
RF00401	8	q21.13	80316939	80317069
RNU6-286P	21	q11.2	13621577	13621683
RNU6-637P	3	q26.2	169720187	169720293
RF00019	1	p31.3	63338263	63338372
SNORA49	12	q24.33	132031224	132031359
RNA5SP478	20	p11.21	23160857	23160971
RNA5SP128	3	p22.3	33491983	33492098
RF01970	12	q23.1	97560856	97561048
RF00554	CHR_HSCHR6_MHC_QBL_CTG1		30122351	30122511
RF00614	X	p11.21	54927305	54927433
RNU6-237P	16	q23.1	74456541	74456611
RNU6-758P	16	q23.1	75286712	75286800
RF00017	12	q24.23	120018900	120019261
RF00026	CHR_HSCHR6_MHC_DBB_CTG1		31739132	31739234
RF02271	17	q25.1	76721216	76721396
RNU6-1029P	2	q33.1	197447745	197447851
SNORA38	CHR_HSCHR6_MHC_MANN_CTG1		31662524	31662655
SNORA23	11	p15.4	9428773	9428954
SNORD30	11	q12.3	62853663	62853732
RN7SL519P	12	q13.12	50841498	50841785
RF00019	15	q21.1	48325558	48325671
RNA5SP454	18	q12.3	42270589	42270715
RN7SL646P	5	q35.3	178377924	178378220
RF00425	6	q16.1	93879106	93879229
RNA5SP442	17	q21.2	41718154	41718260
RF00019	X	q22.3	107202577	107202683
RF00278	12	q24.11	110496352	110496421
RNA5SP204	6	p22.3	17721786	17721903
RNU6-387P	1	p31.3	67417214	67417318
RNA5SP114	2	q32.1	188276732	188276844
RNU6-1112P	4	p14	40077884	40077982
RNU6-761P	6	p21.1	42018408	42018514
RNA5SP118	2	q34	209721913	209722021
RF00026	CHR_HSCHR6_MHC_DBB_CTG1		32328397	32328503
RNA5SP184	5	q11.2	56146739	56146846
RNU6-782P	19	p13.12	15145215	15145318
RNU7-19P	3	p13	73027808	73027873
SNORD116-7	15	q11.2	25067788	25067882
RF00019	8	q13.1	65592731	65592820
RF02218	CHR_HSCHR6_MHC_DBB_CTG1		30026209	30026276
OSCAR	CHR_HSCHR19LRC_LRC_T_CTG3_1		54094681	54102740
RNU6-1126P	7	p11.2	55789368	55789474
RNU6-45P	11	q13.1	63970470	63970576
RNU6-669P	9	q22.32	94507738	94507844
RNU6ATAC	9	q34.2	134164439	134164564
RNVU1-6	1	q21.1	146052081	146052244
RNU7-159P	11	q22.2	102903892	102903953
RNU4-64P	4	q35.1	186026456	186026586
RF00017	8	q22.3	100897853	100898136
SNORD115-36	15	q11.2	25236085	25236166
RF01963	12	q23.1	97492462	97492597
RF00026	CHR_HSCHR17_1_CTG1		90796	90899
RNU6-299P	5	q11.2	56125671	56125770
RF02247	2	p21	44934055	44934271
RNU6-1042P	1	q21.3	150701866	150701972
RF00017	8	p21.1	28915579	28915864
SNORA11E	X	p11.22	52063347	52063474
RNU7-156P	5	q31.3	143542514	143542587
RF00017	CHR_HSCHRX_1_CTG3		390790	391079
MIR6858	X	q28	154450320	154450386
RF00006	17	q11.2	28061967	28062068
RF00278	4	q21.1	76402076	76402146
RNU1-45P	4	q34.3	178116721	178116861
RF00181	14	q32.31	100979992	100980066
RF00019	2	q14.2	120651273	120651374
MIR1973	4	q26	116299725	116299768
RNU6-507P	3	q25.1	149779009	149779108
RNU6-895P	8	p11.21	41298163	41298265
RF00019	16	q21	58083068	58083168
RNU6-597P	14	q23.2	63618043	63618144
RNU6-1154P	7	q33	135665599	135665702
MIR378D1	4	p16.2	5923275	5923328
RF00026	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1		54868796	54868902
RF00432	7	p14.1	37419628	37419767
RN7SL649P	1	p36.22	12036740	12037014
RF01872	14	q32.2	100829350	100829454
AC133551.1	KI270728.1		17234	19833
RN7SKP177	3	q25.31	157017342	157017696
RNY4P16	1	q42.3	234837976	234838069
RNA5SP216	6	q22.32	125979812	125979934
RNU6-144P	8	q24.23	137105352	137105458
RNVU1-15	1	q21.1	144412576	144412740
AC136352.2	KI270727.1		136160	167571
RF00019	10	q24.1	97421195	97421307
RNU6-698P	19	q13.42	53653685	53653791
MIR4266	2	q13	109313571	109313625
RNU6-958P	2	p21	43408307	43408412
RN7SL69P	12	p13.31	6095699	6095970
RN7SL828P	11	q23.3	118067237	118067539
MIR6071	2	p11.2	85783600	85783677
RNU6-440P	2	q33.1	201927439	201927543
RF00026	12	p11.21	31366288	31366366
RNU6-757P	5	q31.1	134715483	134715582
RNU6-1095P	10	p14	11923181	11923288
MIR641	19	q13.2	40282543	40282641
RF02133	17	q21.32	48723692	48723772
SNORD86	20	p13	2656097	2656182
SNORD32B	CHR_HSCHR6_MHC_QBL_CTG1		29582168	29582251
RNU6-838P	4	p12	48106081	48106188
SNORD126	14	q11.2	20326450	20326526
RNA5SP227	7	p15.3	22298594	22298706
RN7SL301P	17	q12	36110150	36110447
RF00017	12	p13.33	3124777	3125063
RN7SKP82	4	p13	42892396	42892618
RF00017	X	q28	151275509	151275789
RNU2-68P	X	q13.1	72376979	72377169
RF00096	6	q25.2	154905076	154905206
RNU6-133P	X	p22.12	21214637	21214743
RF00017	19	p13.3	4127492	4127732
RN7SL722P	9	q13	61789143	61789426
RN7SL240P	11	p14.1	29721399	29721684
RF00001	CHR_HSCHR6_MHC_COX_CTG1		32026965	32027085
RNU6-1099P	1	p36.13	19305076	19305182
RNA5SP80	1	q42.2	231281414	231281524
RNA5SP411	16	p11.1	35746523	35746636
RF00017	8	q11.23	54130582	54130860
RNA5SP203	6	p24.2	10752791	10752926
RNA5SP402	15	q26.3	100074081	100074190
RNY4P28	13	q21.2	60187738	60187830
SNORD116-12	15	q11.2	25077051	25077142
RNU6-200P	6	q22.32	126590287	126590393
RF00096	1	q42.2	234593275	234593402
RF00568	7	q36.1	152609313	152609434
MIR4670	9	q22.31	92527984	92528058
RN7SL37P	5	p13.2	37246173	37246479
RF00399	3	q21.3	128714571	128714705
MIR7848	8	q24.22	133046481	133046581
RF02108	1	p31.3	63549227	63549284
RNU6-1234P	14	q12	29811916	29812018
OSGEPL1	2	q32.2	189746660	189763227
EPHA4	2	q36.1	221418027	221574202
TMEM256P2	2	q36.1	221532668	221533008
NUP35	2	q32.1	183117513	183161680
STMN3	20	q13.33	63639705	63657682
LINC01875	2	p25.3	545805	546667
MRTFA	22	q13.2	40410281	40636702
AC074348.1	7	p12.1	53787167	53787298
RPS27AP17	X	p22.31	6989329	6989783
RAC1P9	7	p12.1	53779783	53780263
HIST1H2APS3	6	p22.2	26233122	26233255
U47924.3	12	p13.31	6899752	6900212
AC097347.1	X	p22.31	6667865	6721544
HIST1H3E	6	p22.2	26224199	26227473
AC009468.2	7	p12.1	53514992	53517116
AL031777.2	6	p22.2	26219045	26219240
RPL13P5	12	p13.31	6873389	6884741
AL138689.1	13	q33.3	106506046	106506713
RAPGEF5	7	p15.3	22118238	22357144
AL138689.2	13	q33.3	106491147	106521630
DDRGK1	20	p13	3190350	3204685
AC007683.2	7	q22.1	103161947	103162660
AC008752.1	19	p13.2	9793621	9802301
C2orf27AP2	9	p21.1	30670964	30671966
TCEANC2	1	p32.3	54053584	54112519
IQSEC3P1	12	p13.33	2752597	2753132
CICP3	1	p36.33	722092	724903
SLC4A1APP1	9	p21.1	30558880	30559481
AC104534.1	19	q13.2	38820166	38823223
BPIFA1	20	q11.21	33235995	33243311
ELK4	1	q32.1	205597556	205631962
AC096533.1	1	q32.1	205625483	205626153
GABRD	1	p36.33	2019298	2030758
AL022238.3	22	q13.1	40415003	40415445
SCN3B	11	q24.1	123629187	123655244
FNBP1L	1	p22.1	93448131	93554661
TVP23A	16	p13.13	10760919	10818794
LHFPL3-AS1	7	q22.2	104738597	104804107
EPM2A	6	q24.3	145382535	145736023
DDX3P2	X	q13.2	74133004	74133114
AL353649.1	9	q22.2	90158028	90158646
AC006210.1	X	p21.3	27517771	27517881
VIP	6	q25.2	152750798	152759765
PPP4R3C	X	p21.3	27460211	27463341
MFAP3	5	q33.2	154038906	154220478
WISP1	8	q24.22	133191039	133231690
LGALS7	19	q13.2	38770971	38773492
SAP30L-AS1	5	q33.2	154329437	154445850
AP003027.1	11	q22.3	108957718	108959797
SNRPGP10	1	q32.1	205351247	205351471
IRAK4	12	q12	43758944	43789543
MAMDC2	9	q21.12	70043581	70226970
AL391807.1	6	q12	68628117	68635161
RPL7P58	X	p21.3	26686026	26687955
LINC02554	22	q12.1	27310651	27317456
LSM14A	19	q13.11	34172504	34229515
MARCH2	19	p13.2	8413270	8439017
ASCC3	6	q16.3	100508194	100881372
AC012441.1	7	p12.1	51388430	51389114
AC021979.2	15	q12	27684498	27685768
UBE2K	4	p14	39698044	39782792
AC021979.1	15	q12	27621534	27629289
GLRXP3	5	q34	161751448	161751768
NAPA-AS1	19	q13.32	47484282	47501597
TRIQK	8	q22.1	92883530	93017673
METAP2	12	q22	95473520	95515839
LARP7P3	18	q22.2	70412055	70412391
NHLH2	1	p13.1	115836377	115843917
LGI3	8	p21.3	22146825	22157084
LINC01154	12	q13.13	54428303	54429403
GPR84	12	q13.13	54362445	54364487
ECEL1P1	2	q37.1	232415818	232419816
LDLRAD1	1	p32.3	54007299	54018186
ZBTB8B	1	p35.1	32465069	32496686
AC104211.3	8	q22.1	92723024	92725111
KPTN	19	q13.32	47475144	47484268
FLJ46284	8	q22.1	92699742	92879502
AL450336.1	6	q12	66710242	66710827
AC091868.2	5	q13.2	73778039	73786491
FAM135A	6	q13	70412941	70561174
SGTA	19	p13.3	2754714	2783371
AL021878.3	CHR_HSCHR22_2_CTG1		42089630	42090028
CALML6	1	p36.33	1914827	1917296
FAM200A	7	q22.1	99546308	99558536
CCL23	CHR_HSCHR17_7_CTG4		36013092	36018001
HIF1A	14	q23.2	61695513	61748259
TM6SF2	19	p13.11	19264364	19273391
DIRAS1	19	p13.3	2714567	2721418
PCDHB10	5	q31.3	141192353	141195642
AC027763.1	17	p13.1	6927472	6928191
MIR497HG	17	p13.1	7015818	7019659
AC064805.1	17	q25.1	74599840	74607229
OR2S2	9	p13.3	35957108	35958154
AC012038.1	12	q12	42979254	42996486
AC012038.2	12	q12	42966122	42967353
AP001619.2	21	q22.3	41870633	41872054
AP001619.1	21	q22.3	41874756	41877613
TEK	9	p21.2	27109141	27230175
PFN1	17	p13.2	4945652	4949061
GNRH2	20	p13	3043622	3045747
KIN	10	p14	7750962	7787981
AC007750.1	2	q24.2	162159762	162173223
GAGE12F	X	p11.23	49551278	49568218
AL669970.1	9	q34.3	134505472	134521442
AP4S1	14	q12	31025106	31096450
ZNF619P1	7	p12.3	46144937	46145688
AC016868.1	8	p11.21	41435298	41440419
MYBL1	8	q13.1	66562175	66614247
OR7A17	19	p13.12	14878203	14886132
FLT3	13	q12.2	28003274	28100592
KL	13	q13.1	33016433	33066145
STOX1	10	q22.1	68827541	68895432
ARSF	X	p22.33	3041471	3112726
GCG	2	q24.2	162142873	162152404
AC013717.1	2	p21	44168851	44320310
AC010333.3	16	p13.12	12614451	12614852
C7	5	p13.1	40909252	40982939
DDX39B-AS1	CHR_HSCHR6_MHC_COX_CTG1		31529753	31530587
MCCD1	CHR_HSCHR6_MHC_COX_CTG1		31516169	31517684
URAD	13	q12.2	27977714	27988654
CMPK1	1	p33	47333797	47378839
HMGB1P20	6	p12.1	53235621	53236297
NR1I2	3	q13.33	119780484	119818485
MAGEA4-AS1	X	q28	151904431	151913968
AC015853.3	17	p13.3	523140	540576
AC067945.1	2	q32.2	190992639	190993567
AC005540.1	2	q32.2	190880797	190882059
TRMT12	8	q24.13	124450820	124462150
PPP1R3F	X	p11.23	49269843	49301461
CRYZP1	7	q22.1	103088664	103089610
ATP10B	5	q34	160563120	160852214
CD300H	17	q25.1	74560701	74567343
GPR107	9	q34.11	130053426	130140169
CCL16	CHR_HSCHR17_7_CTG4		35976525	35981528
FAM229A	1	p35.1	32361270	32364278
KRT41P	17	q21.2	41406512	41411775
ZNF519P3	15	q11.2	21911559	21912590
AC096861.1	3	q21.1	122482990	122483229
TUBA3FP	22	q11.21	21008193	21014292
KCNK10	14	q31.3	88180103	88326907
SDHDP6	1	p36.11	25294164	25294643
AL133279.3	14	q31.3	88158240	88160591
BIVM	13	q33.1	102799049	102841535
P2RX6	22	q11.21	21009808	21028830
FRMD4B	3	p14.1	69169990	69542583
AC099509.2	5	q15	96247776	96278751
AC008906.1	5	q15	96784777	96785999
HELB	12	q14.3	66302545	66347645
TMEM50A	1	p36.11	25337917	25362361
AC026954.2	17	p13.1	7312661	7319174
GPR65	14	q31.3	88005124	88014811
DHX34	19	q13.32	47349281	47382704
NR2C1	12	q22	95020229	95073703
LINC02387	12	p11.21	31363481	31369301
AC068760.1	3	q26.33	180323107	180325059
AC091874.1	5	q35.3	180982273	180982611
AC004675.2	CHR_HSCHR17_7_CTG4		35963502	35965476
AL135960.1	1	p33	47225797	47230750
RPS29P12	5	q35.3	180945756	180945907
AC114341.1	18	q23	79900555	79900903
AC066615.1	15	q21.1	47133495	47134122
AL356320.1	1	p35.2	31050872	31051034
ATF7IP2	16	p13.2	10326434	10483638
AL844908.1	21	q22.3	44936303	44936954
GLIS1	1	p32.3	53506237	53738106
AL136141.1	9	q34.11	130044713	130045081
SOX4	6	p22.3	21592768	21598619
DTX3	12	q13.3	57604622	57609804
OR4A19P	11	p11.12	49920312	49921414
AP006587.3	11	p11.12	49892262	49893777
TRAPPC6A	19	q13.32	45162928	45178237
CCDC9	19	q13.32	47255980	47273701
BX276092.3	X	q13.1	71848775	71849004
SNORD3A	17	p11.2	19188016	19188714
MICB	CHR_HSCHR6_MHC_COX_CTG1		31485545	31498583
AC008592.4	5	q15	95835943	95852721
AC134981.1	15	q11.2	21752278	21752710
FAM209B	20	q13.31	56533246	56536520
AC135068.6	15	q11.2	21709649	21710270
SYT6	1	p13.2	114089291	114153919
C11orf42	11	p15.4	6205566	6211132
C22orf23	22	q13.1	37943050	37953669
AC007038.1	2	q34	210030733	210064356
IGKV2-18	2	p11.2	89128724	89129483
WDR97	8	q24.3	144107726	144118315
PLS3-AS1	X	q23	115518182	115562731
KRTAP16-1	17	q21.2	41307700	41309253
VPS33B	15	q26.1	90998416	91022603
CHST4	16	q22.2	71525233	71538746
C2orf48	2	p25.1	10141382	10211725
LINC00112	21	q22.3	41716436	41717580
AC130509.1	3	q24	146342996	146348480
LINC00111	21	q22.3	41679181	41697336
ZNF19	16	q22.2	71464555	71565089
AL121721.1	20	p11.23	20258407	20267809
FAM91A1	8	q24.13	123768456	123815452
CASK	X	p11.4	41514934	41923645
AC119428.2	1	p32.3	53366668	53368245
AC245052.4	19	q13.42	54119511	54125343
AC119428.1	1	p32.3	53348488	53349233
AC215522.3	7	p22.3	12704	27234
FAM221B	9	p13.3	35816391	35828747
AC019055.1	2	p24.1	19711715	19717576
CCDC30	1	p34.2	42463330	42654664
AC007216.2	16	p13.13	11908208	11908916
AP000350.4	22	q11.23	23862188	23895223
GUCA2B	1	p34.2	42153421	42155824
HADH	4	q25	107989714	108035175
PTP4A1	6	q12	63521746	63583377
TMEM207	3	q28	190428655	190449876
AL691497.1	1	p36.32	5086459	5090899
AL136501.1	14	q31.3	87810982	87838339
AL807752.4	9	q34.3	137052662	137053375
CTBP2P1	Y	q12	56855244	56855488
AC008649.1	19	q13.2	38596346	38601694
SP4	7	p15.3	21428034	21514822
PPT2-EGFL8	CHR_HSCHR6_MHC_COX_CTG1		32102303	32120449
CSKMT	11	q12.3	62665309	62668496
AC099789.1	1	p32.2	56619409	56619549
RPL23AP4	21	q22.3	46690764	46691226
KCNK13	14	q32.11	90061765	90185857
CCNQP2	Y	q12	26626520	26627159
GEMIN2P2	3	p22.1	41977008	41978034
LINC00868	17	q25.2	76850176	76861836
IL21R-AS1	16	p12.1	27447669	27453393
NCOA7-AS1	6	q22.32	125797856	125818858
NPY4R	10	q11.22	46461099	46465881
RPL23P8	7	p21.1	20827326	20827753
CTBP2P6	11	p11.2	43522036	43523264
AL009048.1	X	q27.3	147591612	147591909
AL355483.3	1	p32.3	53304536	53307462
AL355483.2	1	p32.3	53288024	53289706
AC099508.1	16	q23.1	75108601	75110712
EFS	14	q11.2	23356402	23365752
PTPN7	1	q32.1	202147013	202161588
CCNB1IP1	14	q11.2	20311368	20333312
LRIT2	10	q23.1	84220495	84225589
AC107308.1	12	q14.3	65830750	65831050
TPTE2P4	Y	q11.23	26508213	26579690
ORAI3	16	p11.2	30949066	30956461
CYCSP48	Y	q11.23	26400611	26401230
AC093664.1	4	p16.1	10143367	10143655
ENSAP2	14	q31.1	82692704	82693055
AL138831.1	6	p25.2	4018843	4021215
AF274573.1	X	q28	150915813	150920938
LINC01362	1	p31.1	82903183	83166815
EEF1A1P2	14	q31.1	81661428	81662874
CYP2U1	4	q25	107931369	107953457
AC135048.2	16	p11.2	30875766	30895216
AL353753.1	9	p21.2	26066675	26118408
MBOAT1	6	p22.3	20102145	20212399
AL583722.2	14	q32.33	104769349	104770271
PGAM1P4	3	p25.3	9348443	9349192
CDCA3	12	p13.31	6844793	6852066
AP2S1	19	q13.32	46838136	46850992
AC026191.1	3	p25.3	9292588	9363303
LINC02230	5	q13.2	73337906	73338533
AC013452.1	15	q21.1	49177610	49178741
COMMD3	10	p12.2	22315974	22320308
SNRPGP5	10	p13	13104574	13104793
AZGP1P2	7	q22.1	101287482	101289771
LINC00461	5	q14.3	88507546	88691041
RUBCN	3	q29	197671393	197749727
MEF2C-AS2	5	q14.3	88676218	88722831
RNASEH2B-AS1	13	q14.3	50862172	50910764
AKR1B10P2	18	q22.1	68455951	68456877
AL606760.4	1	p32.3	53180921	53186900
DLL4	15	q15.1	40929333	40939073
IGKJ4	2	p11.2	88860886	88860922
AC010547.6	16	q22.2	71420483	71421518
PDK3	X	p22.11	24465221	24541862
RAB9AP3	Y	q11.23	25918323	25918895
PLP2	X	p11.23	49171926	49175239
HIST1H3C	6	p22.2	26045411	26045821
MRPL32P1	X	p11.23	48583093	48583339
AC005176.2	19	q13.2	39631300	39631446
RCAN2	6	p12.3	46220736	46491972
AC096677.1	1	q32.1	201507241	201534784
TFEB	6	p21.1	41683978	41736259
AC011500.1	19	q13.2	39584042	39586489
FGF7	15	q21.2	49423096	49488775
AC012414.7	15	q11.2	20803505	20826173
TLR8-AS1	X	p22.2	12902817	12908333
HTR5A	7	q36.2	155070324	155087392
AL021154.1	1	p36.12	23549139	23550915
AKAP10	17	p11.2	19904302	19978343
AP000926.1	11	q24.1	123135923	123136376
AL359555.3	20	q11.23	38260149	38304332
AL359555.2	20	q11.23	38270778	38274020
PTMAP1	CHR_HSCHR6_MHC_COX_CTG1		30623474	30623740
NUTF2P4	1	p13.2	112748095	112748475
LINC01356	1	p13.2	112820170	112850643
AC025034.1	12	q21.33	89561129	89594878
AC008440.1	19	q13.42	53854581	53869107
C4B	CHR_HSCHR6_MHC_DBB_CTG1		31996944	32011233
AL359555.1	20	q11.23	38288331	38326536
AC119868.2	18	q22.2	69483627	69618694
PARGP1	10	q11.22	45854093	45972154
CMTR2	16	q22.2	71281389	71289715
AC005753.1	5	q31.3	141825708	141826325
AC026884.1	10	q21.1	58106423	58106879
AL731534.1	10	q21.1	57513157	57513425
AC090337.1	18	q22.2	69212277	69214350
AC133552.4	16	p12.1	25071490	25072727
AC013391.3	15	q26.1	89508961	89510416
AC013391.2	15	q26.1	89518523	89591956
SCMH1	1	p34.2	41027200	41242154
DHRS4-AS1	14	q11.2	23938731	23988839
AC006199.1	12	q21.33	89027757	89028522
PSMA3P	14	q23.1	60179382	60180016
